offset	cap	jp	ko
5202928	8	成功率	성공률
5202936	16	失敗威力	실패 위력
5202952	24	成功威力	성공 위력
5203152	16	兵士%d%%	병사%d%%
5203344	16	命令武将：%s	명령무장:%s
5203408	16	%s提案書	%s 제안서
5203424	8	承諾	승낙
5203432	8	拒否	거부
5203584	8	番号	번호
5203592	8	援軍	원군
5203600	8	金	금
5203608	8	兵糧	병량
5203616	8	兵士	병사
5203624	8	代表	대표
5203632	8	友好	우호
5203640	8	武将	무장
5203648	8	所在	소재
5203656	8	勢力	세력
5203664	8	太守	태수
5203672	8	州	주
5203808	8	番号	번호
5203816	16	人物番号	인물 번호
5203832	8	人物名	인물명
5203840	8	所属	소속
5203848	8	所属名	소속명
5203856	8	捕獲数	포획수
5203864	16	被捕獲数	피포획수
5203880	16	戦争勝利	전쟁 승리
5203896	16	戦争敗北	전쟁 패배
5203912	16	仇敵打倒	구적 타도
5203928	16	人材登用	인재 등용
5203944	16	放浪軍結成	방랑군 결성
5203960	16	都督昇進	도독 승진
5203976	16	太守昇進	태수 승진
5203992	16	軍師昇進	군사 승진
5204008	16	対象武将	대상무장
5204024	16	都市攻略数	도시 공략수
5204040	16	登用期間	등용 기간
5204056	8	所持金	소지금
5205712	32	今後ＣＤから読み込みます	앞으로 CD에서 읽어들입니다
5206512	16	以下の武将が	다음 무장이 
5206528	16	へ移りました\n	에 갔습니다\n
5206544	8	、	, 
5206560	40	以下の武将の身分が一般になりました\n	다음 무장의 신분이 일반이 되었습니다\n
5206600	16	%sの軍師を選択	%s 군사 선택
5206616	8	＋%d	＋%d
5206624	8	－%d	－%d
5206632	8	都督	도독
5206640	8	太守	태수
5206648	8	軍師	군사
5206784	16	なし	없음
5206848	40	実行できる武将がおりません	실행할 수 있는 무장이 없습니다
5206888	16	連合作戦	연합 작전
5206904	24	第一援軍：%s	제1 원군:%s
5206928	24	第一援軍：%s軍%s	제1 원군:%s군%s
5206952	24	第二援軍：%s	제2 원군:%s
5206976	32	第二援軍：%s軍%s	제2 원군:%s군%s
5207112	8	商才	상재
5207120	8	なし	없음
5207128	8	－%d	－%d
5207136	8	大雪	대설
5207144	8	台風	태풍
5207152	8	洪水	홍수
5207160	8	金%d	금%d
5207168	8	兵糧%d	병량%d
5207176	8	　	
5207184	8	兵士%d	병사%d
5207200	8	金	금
5207208	8	兵糧	병량
5207216	8	・兵糧	・병량
5207224	8	兵士	병사
5207232	16	・兵士	・병사
5207280	8	自勢力	자세력
5207288	8	自軍団	자군단
5207296	8	＋%d	＋%d
5207304	8	－%d	－%d
5207312	8	破壊	파괴
5207320	8	扇動	선동
5207328	8	離間	이간
5207336	8	埋伏	매복
5207344	8	内通	내통
5207352	8	登用	등용
5207360	16	勧告	권고
5207472	16	＋  頁切替	＋  쪽전환
5207504	8	農村	농촌
5207512	8	市場	시장
5207520	8	屯所	둔소
5207528	8	工房	공방
5207536	8	城門	성문
5207544	8	兵舎	병영
5207552	8	武力	무력
5207560	8	知力	지력
5207568	8	政治	정치
5207576	8	魅力	매력
5207584	8	君主	군주
5207592	8	都督	도독
5207600	8	太守	태수
5207608	8	頭領	두령
5207616	8	－－	－－
5207624	8	特技	특기
5207632	8	猛者	맹자
5207640	8	智嚢	지낭
5207648	8	治略	치략
5207656	8	人徳	인덕
5207664	8	医術	의술
5207672	8	天文	천문
5207680	8	耕作	경작
5207688	8	商才	상재
5207696	8	築城	축성
5207704	8	警備	경비
5207712	8	発明	발명
5207720	8	威風	위풍
5207728	8	弁舌	변설
5207736	8	反計	반계
5207744	8	挑発	도발
5207752	8	混乱	혼란
5207760	8	虚報	허보
5207768	8	歩兵	보병
5207776	8	騎兵	기병
5207784	8	弩兵	노병
5207792	8	水軍	수군
5207800	8	偵察	정찰
5207808	8	全能	전능
5207816	8	神眼	신안
5207824	8	鬼謀	귀모
5207832	8	神算	신산
5207840	8	委任	위임
5207848	16	戦争重視	전쟁중시
5207864	16	内政重視	내정중시
5207880	16	輸送重視	수송중시
5207896	8	州制覇	주제패
5207904	16	勢力打倒	세력타도
5207920	16	開発重視	개발 중시
5207936	16	商業重視	상업 중시
5207952	16	技術重視	기술 중시
5207968	16	防御重視	방어 중시
5207984	8	なし	없음
5207992	8	目標	목표
5208000	8	特徴	특징
5208008	8	金	금
5208016	8	兵糧	병량
5208024	8	兵士	병사
5208032	8	都市	도시
5208040	8	武将	무장
5208048	8	人口	인구
5208056	8	友好	우호
5208064	16	対象都市	대상 도시
5208080	8	開発	개발
5208088	8	商業	상업
5208096	8	技術	기술
5208104	8	防御	방어
5208112	8	勢力	세력
5208120	8	軍団	군단
5208128	8	賊	적
5208136	8	賊兵	적병
5208144	16	連合残月	연합잔월
5208160	16	同盟残月	동맹잔월
5208176	8	治安	치안
5208184	16	諜報残月	첩보잔월
5208200	16	実行武将	실행무장
5208216	8	徴兵	징병
5208224	8	移動先	이동지
5208232	8	前線	전선
5208240	8	身分	신분
5208248	8	所在	소재
5208256	16	購入兵糧	구입 병량
5208272	16	売却兵糧	매각 병량
5208288	8	買相場	매입가
5208296	8	売相場	매각가
5208304	16	賛同武将予想	찬동 무장 예상
5208320	16	盟主勢力	맹주세력
5208336	16	標的勢力	표적세력
5208352	16	勧誘勢力	권유 세력
5208368	16	対象勢力	대상 세력
5208384	16	贈呈内容	증정 내용
5208400	16	要求内容	요구 내용
5208416	8	期間	기간
5208424	16	対象武将	대상무장
5208440	8	忠誠	충성
5208448	16	アイテム	아이템
5208464	8	種類	종류
5208472	8	保有量	보유량
5208480	8	俸禄	봉록
5208488	16	対象軍団	대상 군단
5208504	8	方針	방침
5208512	8	攻込先	공격처
5208520	16	開発目標	개발목표
5208536	16	商業目標	상업목표
5208552	16	技術目標	기술목표
5208568	16	防御目標	방어목표
5208584	8	輸送元	수송원
5208592	8	輸送先	수송처
5208600	8	輸送金	수송금
5208608	16	現役軍師	현직 군사
5208624	16	現役太守	현직 태수
5208640	8	待遇	대우
5208648	8	支度金	준비금
5208656	8	出陣元	출진원
5208664	8	援軍	원군
5208672	8	編成	편성
5208680	16	連合作戦	연합 작전
5208696	8	攻撃	공격
5208704	8	守備	수비
5208712	8	正規	정규
5208720	8	増援	증원
5208728	8	応援	응원
5208736	8	編成金	편성금
5208744	16	兵糧負担	병량 부담
5208760	8	街道	가도
5208768	8	関	관
5208776	8	兵科	병과
5208784	8	兵器	병기
5208792	8	退却先	퇴각지
5208800	16	出陣編成	출진 편성
5208816	8	総大将	총대장
5208824	8	参軍	참군
5208832	8	解散	해산
5208840	16	軍団設定	군단 설정
5208856	16	都市方針選択	도시 방침 선택
5208872	16	軍団方針選択	군단 방침 선택
5208888	16	内政方針選択	내정 방침 선택
5208904	16	重点項目	중점 항목
5208920	8	現在	현재
5208928	8	残量	잔량
5208936	8	納入金	납입금
5208944	8	引出金	인출금
5208952	8	入金	입금
5208960	8	出金	출금
5208968	8	所持金	소지금
5208976	8	都市金	도시금
5208984	8	勢力金	세력금
5208992	16	協力武将	협력무장
5209008	8	親密	친밀
5209016	8	買値	구매가
5209024	8	戦法	전법
5209032	8	経験	경험
5209040	8	名声	명성
5209048	8	能力	능력
5209056	16	戦法伝授	전법 전수
5209072	16	仕事決定	업무 결정
5209088	16	最適命令	최적 명령
5209104	16	個別命令	개별 명령
5209120	8	解任	해임
5209128	8	提案	제안
5209136	8	命令	명령
5209144	8	意欲	의욕
5209152	16	開墾重視	개간 중시
5209168	16	補修重視	보수 중시
5209184	16	治安重視	치안 중시
5209200	16	仕事選択	업무 선택
5209216	8	仕事	업무
5209224	8	開墾	개간
5209232	8	補修	보수
5209240	8	民心	민심
5209248	16	仕事提案	업무 제안
5209264	8	達成	달성
5209272	8	登用	등용
5209280	8	解放	석방
5209288	8	処断	처단
5209296	8	承諾	승낙
5209304	8	拒否	거부
5209312	8	年齢	연령
5209320	8	功績	공적
5209328	16	仕官許可	사관 허가
5209344	16	捕虜処遇	포로 처우
5209360	16	出陣部隊編成	출진부대 편성
5209376	16	起案武将	기안 무장
5209392	16	軍団選択	군단선택
5209408	8	標準	표준
5209416	16	編成金０	편성금 0
5209432	16	間接重視	간접 중시
5209448	16	騎兵重視	기병 중시
5209464	16	水軍重視	수군 중시
5209480	16	攻城重視	공성 중시
5209496	16	最適編成	최적 편성
5209512	16	個別編成	개별 편성
5209528	16	提案重視	제안 중시
5209544	24	残提案者	남은 제안자
5209816	8	開発	개발
5209824	8	商業	상업
5209832	8	技術	기술
5209840	8	防御	방어
5209848	8	・	・
5209856	8	兵糧%d	병량%d
5209864	8	兵士%d	병사%d
5209872	8	金%d	금%d
5209880	16	\n　　　　　	\n
5209896	8	、	,
5210032	16	参加勢力：	참가 세력:
5210064	8	＋%d	＋%d
5210072	8	%sと%s	%s, %s
5210176	8	他%d名	외%d명
5210184	8	、	,
5210280	8	実行	실행
5210288	8	中止	중지
5210400	8	未	미
5210408	8	？？	??
5210600	8	軍団	군단
5210608	8	都市	도시
5210616	8	編成	편성
5210624	8	配属	배속
5210632	8	異動	이동
5210640	8	登用	등용
5210648	8	授与	수여
5210656	8	没収	몰수
5210664	8	太守	태수
5210672	8	軍師	군사
5210680	8	解雇	해고
5210688	8	輸送	수송
5210696	8	出陣	출진
5210704	8	購入	구입
5210712	8	売却	매각
5210720	8	徴兵	징병
5210728	8	反乱	반란
5210736	8	旗揚	거병
5210744	8	放浪	방랑
5210752	8	転地	이전
5210760	8	贈呈	증정
5210768	8	要求	요구
5210776	8	勧告	권고
5210784	8	同盟	동맹
5210792	8	破棄	파기
5210800	8	連合	연합
5210808	8	脱退	탈퇴
5210816	8	加盟	가맹
5210824	8	諜報	첩보
5210832	8	離間	이간
5210840	8	破壊	파괴
5210848	8	扇動	선동
5210856	8	内通	내통
5210864	8	埋伏	매복
5210872	8	売買	매매
5210880	8	外交	외교
5210888	8	作敵	이간
5210896	8	流言	유언
5210904	8	引抜	포섭
5210912	16	待機	대기
5210928	32	※%sコマンドが実行できません	※%s 커맨드 실행 불가
5210992	16	ゲーム進行制御	게임 진행 제어
5211008	16	勢力戦略	세력 전략
5211024	16	放浪軍戦略	방랑군 전략
5211040	16	都市戦略	도시 전략
5211056	16	武将戦略	무장 전략
5211072	16	君主武将戦略	군주 무장 전략
5211088	16	都督武将戦略	도독 무장 전략
5211104	16	太守武将戦略	태수 무장 전략
5211120	16	軍師武将戦略	군사 무장 전략
5211136	16	一般武将戦略	일반 무장 전략
5211152	16	頭領武将戦略	두령 무장 전략
5211168	16	同志武将戦略	동지 무장 전략
5211184	32	ユーザー武将戦略	유저 무장 전략
5211272	8	開墾	개간
5211280	8	見聞	견문
5211288	8	商業	상업
5211296	8	買う	구매
5211304	8	売る	판매
5211312	8	補修	보수
5211320	8	訪問	방문
5211328	8	略奪	약탈
5211336	8	転居	이주
5211344	8	技術	기술
5211352	8	治安	치안
5211360	8	討伐	토벌
5211368	8	訓練	훈련
5211376	8	会話	대화
5211384	8	寄贈	기증
5211392	8	悪言	악언
5211400	8	納入	납입
5211408	8	引出	인출
5211416	8	仕官	사관
5211424	8	推挙	천거
5211432	8	募兵	모병
5211440	8	入金	입금
5211448	8	出金	출금
5211456	8	鍛練	단련
5211464	8	宴会	연회
5211472	8	下野	하야
5211480	8	発起	발기
5211488	8	城門	성문
5211496	8	農村	농촌
5211504	8	宮城	궁성
5211512	8	兵舎	병영
5211520	8	酒家	주점
5211528	8	飯店	반점
5211536	8	屯所	둔소
5211544	8	工房	공방
5211552	8	市場	시장
5211560	8	自宅	자택
5211568	16	町民	주민
5211776	8	虚報	허보
5211784	8	なし	없음
5211792	8	築城	축성
5211800	8	挑発	도발
5211808	8	弁舌	변설
5211816	8	混乱	혼란
5211824	8	神眼	신안
5211832	8	偵察	정찰
5212120	8	、	,
5212432	16	%s内容選択	%s 내용 선택
5212560	16	悪言	악언
5212808	12	買う	구매
5213376	16	必ず退却成功	퇴각 성공 확정
5213536	8	宴会	연회
5213760	8	発起	발기
5213888	8	訪問	방문
5214024	8	会話	대화
5214272	16	%s民心	%s민심
5214816	16	寄贈	기증
5215072	8	－	－
5215080	8	＋	＋
5215136	8	 － 	－
5215600	8	略奪	약탈
5215720	8	売る	판매
5215920	8	%s民心	%s민심
5216256	16	%sに仕官します	%s에 사관합니다
5216392	8	推挙	천거
5216912	8	転居	이주
5217008	8	盗賊	도적
5217016	8	山賊	산적
5217024	8	大山賊	대산적
5217104	16	、	,
5217344	8	＋%d	＋%d
5217352	16	金%d、兵糧%d	금%d, 병량%d
5217368	8	金%d	금%d
5217376	8	兵糧%d	병량%d
5217384	8	－%d	－%d
5217424	32	[b所持していたアイテム	[b소지하고 있던 아이템
5217456	64	[1b%s[bの[2b%s[bは\n[1b%s[bのものになりました	[1b%s[b의 [2b%s[b,\n[1b%s[b의 것이 되었습니다
5217608	8	蒋	장
5217616	8	ｼｮｳ	장
5217624	8	愈	유
5217640	8	孟	맹
5217648	8	ﾓｳ	맹
5217656	8	童	동
5217664	8	ﾄｳ	동
5217672	8	祁	기
5217688	8	馮	풍
5217696	8	ﾎｳ	풍
5217704	8	謝	사
5217712	8	ｼｬ	사
5217720	8	張	장
5217728	8	ﾁｮｳ	장
5217736	8	蘇	소
5217752	8	左	좌
5217768	8	陳	진
5217776	8	ﾁﾝ	진
5217784	8	田	전
5217792	8	ﾃﾞﾝ	전
5217800	8	鄭	정
5217808	8	ﾃｲ	정
5217816	8	長孫	장손
5217824	8	ﾁｮｳｿﾝ	장손
5217832	8	歐陽	구양
5217840	8	ｵｳﾖｳ	구양
5217848	8	江	강
5217856	8	ｺｳ	강
5217864	8	車	거
5217872	8	霍	곽
5217880	8	ｶｸ	곽
5217888	8	伍	오
5217896	8	ｺﾞ	오
5217904	8	梁	양
5217912	8	ﾘｮｳ	양
5217920	8	昭	소
5217928	8	任	임
5217936	8	ﾆﾝ	임
5217944	8	不韋	불위
5217952	8	ﾌｲ	불위
5217960	8	耽	탐
5217968	8	ﾀﾝ	탐
5217976	8	昇	승
5217984	8	琳	림
5217992	8	ﾘﾝ	림
5218000	8	正	정
5218008	8	ｾｲ	정
5218016	8	成	성
5218024	8	僉	첨
5218032	8	ｾﾝ	첨
5218040	8	之推	지추
5218048	8	ｼｽｲ	지추
5218056	8	路	로
5218072	8	永慶	영경
5218080	8	ｴｲｹｲ	영경
5218088	8	沛	패
5218096	8	ﾊｲ	패
5218104	8	無忌	무기
5218112	8	ﾑｷ	무기
5218120	8	鋒	봉
5218128	8	華	화
5218144	8	忠	충
5218152	8	ﾁｭｳ	충
5218160	8	超	초
5218168	8	紀	기
5218176	8	伯	백
5218184	8	ﾊｸ	백
5218192	8	顏	안
5218200	8	ｶﾞﾝ	안
5218208	8	韋	위
5218224	8	安	안
5218232	8	ｱﾝ	안
5218240	8	徐	서
5218248	8	ｼﾞｮ	서
5218256	8	施	시
5218272	8	范	범
5218280	8	ﾊﾝ	범
5218288	8	ｼﾞﾝ	인
5218296	8	呉	오
5218304	8	王	왕
5218312	8	ｵｳ	왕
5218320	8	呂	여
5218328	8	ﾘｮ	여
5218336	8	李	이
5218352	8	狄	적
5218360	8	ｷｭｳ	구
5218368	8	慕容	모용
5218376	8	ﾎﾞﾖｳ	모용
5218384	8	沈	심
5218392	8	鳳	봉
5218400	8	武	무
5218408	8	ﾌﾞ	무
5218416	8	許	허
5218424	8	ｷｮ	허
5218432	8	屈	굴
5218440	8	ｸﾂ	굴
5218448	8	洪	홍
5218456	8	侯	후
5218464	8	如玉	여옥
5218472	8	ｷｮｷﾞｮｸ	여옥
5218480	8	淑	숙
5218488	8	ｼｭｸ	숙
5218496	8	甄	견
5218504	8	ｼﾝ	견
5218512	8	玉蓮	옥련
5218520	8	ｷﾞｮｸﾚﾝ	옥련
5218528	8	珍	진
5218536	8	芝	지
5218552	8	秋香	추향
5218560	8	ｼｭｳｺｳ	추향
5218568	8	思涵	사함
5218576	8	ｼｶﾝ	사함
5218584	8	菲	비
5218592	8	ﾋﾞ	비
5218600	8	嫺	한
5218608	8	ﾋﾞﾝ	빈
5218616	8	媚娘	미랑
5218624	8	ｺｼﾞｮｳ	미랑
5218632	8	婉	완
5218640	8	ｴﾝ	완
5218648	8	之妍	지연
5218656	8	ｼｹﾝ	지연
5218664	8	娜	나
5218680	8	娥	아
5218688	8	ｶﾞ	아
5218696	8	又玲	우령
5218704	8	ﾕｳﾚｲ	우령
5218720	8	若蘭	약란
5218728	8	ｼﾞｬｸﾗﾝ	약란
5218736	8	梅芳	매방
5218744	8	ﾊﾞｲﾎｳ	매방
5218752	8	珠	주
5218760	8	ｼｭ	주
5219096	8	、	,
5219160	8	狼	낭
5219168	8	虎	호
5219176	8	熊	웅
5219184	16	大熊猫	대웅묘
5219536	32	[b所持していたアイテム	[b소지하고 있던 아이템
5219568	56	[1b%s[bの[2b%s[bは\n[1b%s[bのものになりました	[1b%s[b의 [2b%s[b,\n[1b%s[b의 것이 되었습니다
5219712	16	提案	제안
5219784	8	軍団	군단
5219792	8	都市	도시
5219800	8	編成	편성
5219808	8	配属	배속
5219816	8	異動	이동
5219824	8	登用	등용
5219832	8	授与	수여
5219840	8	没収	몰수
5219848	8	太守	태수
5219856	8	軍師	군사
5219864	8	解雇	해고
5219872	8	輸送	수송
5219880	8	出陣	출진
5219888	8	購入	구입
5219896	8	売却	매각
5219904	8	徴兵	징병
5219912	8	反乱	반란
5219920	8	旗揚	거병
5219928	8	放浪	방랑
5219936	8	転地	이전
5219944	8	贈呈	증정
5219952	8	要求	요구
5219960	8	勧告	권고
5219968	8	同盟	동맹
5219976	8	破棄	파기
5219984	8	連合	연합
5219992	8	加盟	가맹
5220000	8	脱退	탈퇴
5220008	8	離間	이간
5220016	8	破壊	파괴
5220024	8	扇動	선동
5220032	8	内通	내통
5220040	8	埋伏	매복
5220048	8	方針	방침
5220056	8	人事	인사
5220064	8	軍事	군사
5220072	8	外交	외교
5220080	8	計略	계략
5220088	16	諜報	첩보
5220104	8	また、	또한,
5220112	8	、	,
5220120	16	、他%d勢力	, 다른 %d 세력
5220312	8	・	・
5220480	16	授与	수여
5220664	8	配属	배속
5220784	8	解雇	해고
5220944	16	異動	이동
5221088	16	軍師	군사
5221264	8	配属	배속
5221272	8	太守	태수
5221408	16	必ず退却成功	퇴각 성공 확정
5221728	8	登用	등용
5221936	16	購入	구입
5222160	16	徴兵	징병
5222792	16	%s側%s軍	%s측 %s군
5222808	8	応戦	응전
5222816	16	放棄	포기
5222880	16	出陣	출진
5223088	8	総大将	총대장
5223096	8	参軍	참군
5223104	8	決定	결정
5223112	24	%s側%s軍	%s측 %s군
5223184	8	ﾀｰﾝ	턴
5223256	8	出陣	출진
5223840	16	売却	매각
5223984	16	退却先	퇴각지
5224176	16	転地	이전
5224528	16	輸送	수송
5224704	16	%-4s 前線 %s	%-4s 전선 %s
5224720	16	都市	도시
5225216	8	決定	결정
5225392	16	州制覇・%s	주 제패 - %s
5225408	16	勢力打倒・%s	세력 타도 - %s
5225424	16	軍団	군단
5226416	8	編成	편성
5226424	8	決定	결정
5226640	8	加盟	가맹
5226648	8	金	금
5226656	8	兵糧	병량
5226664	8	兵士	병사
5226672	8	ｱｲﾃﾑ	아이템
5226680	8	なし	없음
5226976	16	同盟	동맹
5227200	16	破棄	파기
5227392	8	脱退	탈퇴
5227400	8	金	금
5227408	8	兵糧	병량
5227416	8	兵士	병사
5227424	16	ｱｲﾃﾑ	아이템
5227696	8	贈呈	증정
5227704	8	金	금
5227712	8	兵糧	병량
5227720	8	兵士	병사
5227728	16	ｱｲﾃﾑ	아이템
5228000	16	要求	요구
5228224	16	勧告	권고
5228448	8	連合	연합
5228512	16	檄	격문
5228736	16	諜報	첩보
5228944	16	破壊	파괴
5229200	16	埋伏	매복
5229456	16	内通	내통
5229696	16	離間	이간
5229920	16	扇動	선동
5230200	16	都市武将	도시 무장
5230216	8	武将	무장
5230224	8	都市	도시
5230232	8	勢力	세력
5230240	8	軍団	군단
5230248	8	官爵	관작
5230256	8	災害	재해
5230264	16	情報一覧	정보 일람
5230280	8	セーブ	세이브
5230288	8	ロード	로드
5230296	16	環境設定	환경 설정
5230312	16	武将編集	무장 편집
5230328	16	都市編集	도시 편집
5230344	8	年表	연표
5230352	16	ゲーム終了	게임 종료
5230416	8	仕官	사관
5230424	8	納入	납입
5230432	8	引出	인출
5230440	8	開墾	개간
5230448	8	商業	상업
5230456	8	買う	구매
5230464	8	売る	판매
5230472	8	治安	치안
5230480	8	討伐	토벌
5230488	8	技術	기술
5230496	8	訓練	훈련
5230504	8	募兵	모병
5230512	8	入金	입금
5230520	8	出金	출금
5230528	8	略奪	약탈
5230536	8	補修	보수
5230544	8	訪問	방문
5230552	8	転居	이주
5230560	8	鍛練	단련
5230568	8	宴会	연회
5230576	8	悪言	악언
5230584	8	下野	하야
5230592	8	発起	발기
5230600	8	推挙	천거
5230608	8	見聞	견문
5230616	8	会話	대화
5230624	8	寄贈	기증
5230632	8	老人	노인
5230640	8	男性	남성
5230648	8	女性	여성
5230656	8	金持	부자
5230664	8	子供	아이
5230672	8	乱暴	난폭
5230680	8	旅人	나그네
5230688	8	農民	농민
5230696	8	肉屋	푸줏간
5230704	8	魚屋	어물전
5230712	8	万屋	잡화상
5230720	8	工夫	인부
5230728	8	衛兵	위병
5230736	8	師範	사범
5230744	8	鍛冶	대장간
5230752	8	商人	상인
5230760	8	行商	행상
5230768	8	酒娘	주모
5230776	8	飯娘	찬모
5230784	8	恋人	연인
5230792	8	小間	하녀
5230800	8	小玉	소옥
5230808	8	嫁	신부
5230816	8	旦那	서방
5230824	8	釣人	낚시꾼
5230832	8	息子	아들
5230840	8	娘	딸
5230848	8	犬	개
5230856	8	高札	게시판
5230864	8	泥棒	도둑
5230872	8	酔払	취객
5230880	8	民	백성
5230888	8	男女	남녀
5230896	8	軍団	군단
5230904	8	都市	도시
5230912	8	編成	편성
5230920	8	配属	배속
5230928	8	異動	이동
5230936	8	登用	등용
5230944	8	授与	수여
5230952	8	没収	몰수
5230960	8	太守	태수
5230968	8	軍師	군사
5230976	8	解雇	해고
5230984	8	輸送	수송
5230992	8	出陣	출진
5231000	8	購入	구입
5231008	8	売却	매각
5231016	8	徴兵	징병
5231024	8	反乱	반란
5231032	8	旗揚	거병
5231040	8	放浪	방랑
5231048	8	転地	이전
5231056	8	贈呈	증정
5231064	8	要求	요구
5231072	8	同盟	동맹
5231080	8	破棄	파기
5231088	8	勧告	권고
5231096	8	連合	연합
5231104	8	脱退	탈퇴
5231112	8	加盟	가맹
5231120	8	離間	이간
5231128	8	破壊	파괴
5231136	8	扇動	선동
5231144	8	内通	내통
5231152	8	埋伏	매복
5231160	8	諜報	첩보
5231176	8	＋%d	＋%d
5231184	16	－%d	－%d
5231520	8	解除	해제
5231528	8	決定	결정
5231544	8	兵士	병사
5231608	8	最大	최대
5231616	16	兵科	병과
5231688	8	出陣	출진
5231696	16	兵器	병기
5231984	8	春	춘
5231992	8	夏	하
5232000	8	秋	추
5232008	8	冬	동
5232024	16	%3d年%2d月%s	%3d년 %2d월%s
5232256	8	勢力	세력
5232264	8	軍団	군단
5232272	8	太守	태수
5232280	8	軍師	군사
5232288	8	開発	개발
5232296	8	商業	상업
5232304	8	技術	기술
5232312	8	防御	방어
5232320	8	治安	치안
5232328	8	金	금
5232336	8	兵糧	병량
5232344	8	兵士	병사
5232352	8	人口	인구
5232360	8	規模	규모
5232368	8	武将	무장
5232376	8	在野	재야
5232384	8	放浪軍	방랑군
5232392	8	商人	상인
5232400	8	災害	재해
5232408	8	仕事	업무
5232416	8	目標	목표
5232424	8	軍	군
5232432	16	都市武将	도시 무장
5232448	16	都市	도시
5232632	8	春	춘
5232640	8	夏	하
5232648	8	秋	추
5232656	8	冬	동
5232664	16	%3d年%2d月%s	%3d년 %2d월%s
5234440	8	登録	등록
5234448	16	新規登録	신규 등록
5234464	16	内容変更	내용 변경
5234480	16	武将削除	무장 삭제
5234496	16	血縁設定	혈연 설정
5234512	16	血縁解除	혈연 해제
5234528	16	親友設定	친우 설정
5234544	16	親友解除	친우 해제
5234560	16	保存する	저장
5234592	16	登録数 %3d/%3d	등록수 %3d/%3d
5234688	32	%sを削除します\nよろしいですか？	%s 무장을\n삭제하시겠습니까?
5234720	32	親にできる武将が存在しません	부모로 지정할 무장이 없습니다
5234752	48	%sを%sの親に設定します\nよろしいですか？	%s 무장을 %s의 부모로\n설정하시겠습니까?
5234800	48	%sの親をいなくします\nよろしいですか？	%s의 부모 설정을\n해제하시겠습니까?
5234848	48	%sらの親をいなくします\nよろしいですか？	%s 등의 부모 설정을\n해제하시겠습니까?
5234896	48	%sを%sと親友にします\nよろしいですか？	%s 무장과 %s 무장을\n친우로 하시겠습니까?
5234944	48	%sの親友をなくします\nよろしいですか？	%s의 친우 설정을\n해제하시겠습니까?
5234992	40	%sらの親友をなくします\nよろしいですか？	%s 등의 친우 설정을\n해제하시겠습니까?
5235032	8	袁遺	원유
5235040	8	李儒	이유
5235048	8	鍾	종
5235056	8	程普	정보
5235064	8	許靖	허정
5235072	8	鮑信	포신
5235080	8	厳顔	엄안
5235088	8	公孫	공손
5235096	8	袁紹	원소
5235104	8	陳宮	진궁
5235112	8	曹操	조조
5235120	8	孫堅	손견
5235128	8	馬騰	마등
5235136	8	呂布	여포
5235144	8	夏侯惇	하후돈
5235152	8	荀攸	순유
5235160	8	高順	고순
5235168	8	侯成	후성
5235176	8	于禁	우금
5235184	8	楽進	악진
5235192	8	顔良	안량
5235200	8	典韋	전위
5235208	8	張遼	장료
5235216	8	劉備	유비
5235224	8	関羽	관우
5235232	8	田豊	전풍
5235240	8	夏侯淵	하후연
5235248	8	甘寧	감녕
5235256	8	虞翻	우번
5235264	8	周倉	주창
5235272	8	孫乾	손건
5235280	8	糜竺	미축
5235288	8	呉懿	오의
5235296	8	太史慈	태사자
5235304	8	張	장
5235312	8	張飛	장비
5235320	8	曹仁	조인
5235328	8	趙雲	조운
5235336	8	徐晃	서황
5235344	8	曹洪	조홍
5235352	8	郭嘉	곽가
5235360	8	許	허
5235368	8	王甫	왕보
5235376	8	徳	덕
5235384	8	李厳	이엄
5235392	8	魯粛	노숙
5235400	8	袁譚	원담
5235408	8	王累	왕루
5235416	8	諸葛瑾	제갈근
5235424	8	李典	이전
5235432	8	魏延	위연
5235440	8	孫策	손책
5235448	8	周瑜	주유
5235456	8	馬超	마초
5235464	8	朱桓	주환
5235472	8	徐盛	서성
5235480	8	顧雍	고옹
5235488	8	呂蒙	여몽
5235496	8	司馬懿	사마의
5235504	8	統	통
5235512	8	徐庶	서서
5235520	8	孫礼	손례
5235528	8	諸葛亮	제갈량
5235536	16	木鹿大王	목록대왕
5235552	8	朱然	주연
5235560	8	孫権	손권
5235568	8	馬岱	마대
5235576	8	陸遜	육손
5235584	8	孫翊	손익
5235592	8	劉	유
5235600	8	夏侯尚	하후상
5235608	8	曹真	조진
5235616	8	兀突骨	올돌골
5235624	8	劉巴	유파
5235632	8	関平	관평
5235640	8	曹丕	조비
5235648	8	蒋	장
5235656	8	張翼	장익
5235664	8	諸葛均	제갈균
5235672	8	凌統	능통
5235680	8	曹彰	조창
5235688	8	馬謖	마속
5235696	8	陳式	진식
5235704	8	冷苞	냉포
5235712	8	王平	왕평
5235720	8	曹植	조식
5235728	8	費	비
5235736	8	劉封	유봉
5235744	8	高翔	고상
5235752	8	呂凱	여개
5235760	8	王双	왕쌍
5235768	8	向寵	상총
5235776	8	顎煥	악환
5235784	8	楽	악
5235792	8	孫桓	손환
5235800	8	艾	애
5235808	8	張苞	장포
5235816	8	陸凱	육개
5235824	8	関興	관흥
5235832	8	桓範	환범
5235840	8	昭	소
5235848	8	関索	관색
5235856	8	夏侯楙	하후무
5235864	8	周	주
5235872	8	夏侯覇	하후패
5235880	8	姜維	강유
