no	sei	sei_yomi	mei	mei_yomi	azana	ko_sei	ko_mei	ko_azana
500	劉	Ø­³	理	Ø	奉孝	유	리	봉효
501	留	Ø­³	略	Ø¬¸		유	략	
502	呂	Ø®	威〓{F07A}	²º³		여	위황	
503	廖	Ø®³	化	¶	元倹	요	화	원검
504	梁	Ø®³	興	º³		양	흥	
505	凌	Ø®³	操	¿³		능	조	
506	凌	Ø®³	統	Ä³	公績	능	통	공적
507	廖	Ø®³	立	ØÂ	公淵	요	립	공연
508	呂	Ø®	凱	¶Þ²	季平	여	개	계평
509	呂	Ø®	義	·Þ		여	의	
510	呂	Ø®	虔	¹Ý	子恪	여	건	자각
511	呂	Ø®	曠	º³		여	광	
512	呂	Ø®	翔	¼®³		여	상	
513	呂	Ø®	岱	À²	定公	여	대	정공
514	呂	Ø®	範	ÊÝ	子衡	여	범	자형
515	呂	Ø®	布	Ì	奉先	여	포	봉선
516	呂	Ø®	蒙	Ó³	子明	여	몽	자명
517	倫	ØÝ	直	Á®¸		윤	직	
518	魯	Û	粛	¼­¸	子敬	노	숙	자경
519	盧	Û	植	¼®¸	子幹	노	식	자간
520	兪	Õ	渉	¼®³		유	섭	
521	方	Î³	悦	´Â		방	열	
522	冷	Ú²	苞	Î³		냉	포	
523	呂	Ø®	拠	·®		여	거	
524	劉	Ø­³	〓{F065}	¶²		유	괴	
525	楊	Ö³	任	¼ÞÝ		양	임	
526	楊	Ö³	昂	º³		양	앙	
527	曹	¿³	遵	¼Þ­Ý		조	준	
528	朱	¼­	讃	»Ý		주	찬	
529	張	Á®³	角	¶¸		장	각	
530	張	Á®³	梁	Ø®³		장	량	
531	張	Á®³	宝	Î³		장	보	
532	程	Ã²	遠志	´Ý¼		정	원지	
533	鄧	Ä³	茂	Ó		등	무	
534	趙	Á®³	弘	º³		조	홍	
535	韓	¶Ý	忠	Á­³		한	충	
536	厳	¹ÞÝ	政	¾²		엄	정	
537	高	º³	昇	¼®³		고	승	
538	孫	¿Ý	仲	Á­³		손	중	
539	張	Á®³	挙	·®		장	거	
540	何	¶	進	¼Ý	遂高	하	진	수고
541	丁	Ã²	原	¹ÞÝ	建陽	정	원	건양
542	区	µ³	星	¾²		구	성	
543	戴	À²	陵	Ø®³		대	릉	
544	張	Á®³	純	¼Þ­Ý		장	순	
545	辺	ÍÝ	章	¼®³		변	장	
546	北宮	Î¸·­³	玉	·Þ®¸		북궁	옥	
547	孫	¿Ý	尚香	¼®³º³		손	상향	
548	王	µ³	忠	Á­³		왕	충	
549	費	Ë	耀	Ö³		비	요	
550	宋	¿³	揚	Ö³		송	양	
551	周	¼­³	朝	Á®³		주	조	
552	郭	¶¸	石	¾·		곽	석	
553	張	Á®³	球	·­³		장	구	
554	田	ÃÞÝ	与	Ö		전	여	
555	劉	Ø­³	劭	¼®³		유	소	
556	張	Á®³	承	¼®³		장	승	
557	留	Ø­³	賛	»Ý		유	찬	
558	全	¾ÞÝ	懌	´·		전	역	
559	張	Á®³	温	µÝ		장	온	
560	霊	Ú²	帝	Ã²		영	제	
561	少	¼®³	帝	Ã²		소	제	
562	献	¹Ý	帝	Ã²		헌	제	
563	貂	Á®³	蝉	¾Ý		초	선	
564	大	ÀÞ²	喬	·®³		대	교	
565	小	¼®³	喬	·®³		소	교	
566	蔡	»²	〓{F080}	´Ý	文姫	채	염	문희
567	雲	³Ý	玲	Ú²		운	령	
568	林	ØÝ	芝	¼		임	지	
569	蒋	¼®³	容	Ö³		장	용	
570	翠	½²	闌	×Ý		취	란	
571	胡	º	姫	·		호	희	
572	喬	·®³	国老	º¸Û³		교	국로	
573	呉	ºÞ	国太	º¸À²		오	국태	
574	小	¼®³	玉	·Þ®¸		소	옥	
575	老	Û³	母	ÎÞ		노	모	
576	何	¶	太后	À²º³		하	태후	
577	皇	º³	后	ºÞ³		황	후	
578	蔡	»²	陽	Ö³		채	양	
579	密	Ð¯	使	¼		밀	사	
580	文	ÌÞÝ	官	¶Ý		문	관	
581	勅	Á®¸	使	¼		칙	사	
582	町	Á®³	民	ÐÝ		주	민	
583	北	Î¸	斗	Ä		북	두	
584	南	ÅÝ	斗	Ä		남	두	
585	文	ÌÞÝ	官	¶Ý		문	관	
586	倭	Ü	人	¼ÞÝ		왜	인	
587	単	¾ÞÝ	福	Ì¸		선	복	
588	県	¹Ý	令	Ú²		현	령	
589	関	¶Ý	定	Ã²		관	정	
590	劉	Ø­³	泌	Ë		유	필	
591	闇	ÔÐ	商人	¼®³ÆÝ		암	상인	
592	異	²	民族	ÐÝ¿Þ¸		이	민족	
593	徐	¼Þ®	堅	¹Ý		서	견	
594	趙	Á®³	儀	·Þ		조	의	
595	武	ÌÞ	官	¶Ý		무	관	
596	老	Û³	人	¼ÞÝ		노	인	
597	書	¼®	生	¾²		서	생	
598	文	ÌÞÝ	虎	º		문	호	
599	宋	¿³	謙	¹Ý		송	겸	
600	賈	¶	華	¶		가	화	
601	陳	ÁÝ	応	µ³		진	응	
602	衛	´²	〓{F07D}	¶Ý	伯玉	위	관	백옥
603	王	µ³	含	¶ÞÝ		왕	함	
604	王	µ³	粛	¼­¸	子雍	왕	숙	자옹
605	牽	¹Ý	弘	º³		견	홍	
606	伍	ºÞ	延	´Ý		오	연	
607	胡	º	済	»²	偉度	호	제	위도
608	胡	º	沖	Á­³		호	충	
609	師	¼	纂	»Ý		사	찬	
610	司馬	¼ÊÞ	〓{F05C}	Á­³	子将	사마	주	자장
611	諸葛	¼®¶Â	緒	¼®		제갈	서	
612	蒋	¼®³	斌	ËÝ		장	빈	
613	孫	¿Ý	冀	·		손	기	
614	張	Á®³	象	¼®³		장	상	
615	丁	Ã²	封	Î³		정	봉	
616	党	Ä³	均	·Ý		당	균	
617	裴	Ê²	秀	¼­³	季彦	배	수	계언
618	楊	Ö³	欣	·Ý		양	흔	
619	陸	Ø¸	景	¹²	士仁	육	경	사인
620	留	Ø­³	平	Í²		유	평	
621	楼	Û³	玄	¹ÞÝ	承先	누	현	승선
622	王	µ³	惇	ÄÝ		왕	돈	
623	何	¶	植	¼®¸		하	식	
624	王	µ³	〓{F0A4}	Ø®³	彦雲	왕	릉	언운
625	魏	·Þ	〓{F04E}	ÊÞ¸		위	막	
626	丘	·­³	建	¹Ý		구	건	
627	句	º³	安	±Ý		구	안	
628	胡	º	淵	´Ý	世元	호	연	세원
629	胡	º	烈	ÚÂ	玄武	호	렬	현무
630	施	¼	朔	»¸		시	삭	
631	荀	¼Þ­Ý	〓{F053}	·Þ	景倩	순	의	경천
632	荀	¼Þ­Ý	勗	·®¸		순	욱	
633	邵	¼®³	悌	Ã²	元伯	소	제	원백
634	張	Á®³	緝	¼­³	敬仲	장	집	경중
635	張	Á®³	遵	¼Þ­Ý		장	준	
636	張	Á®³	特	Ä¸	子産	장	특	자산
637	滕	Ä³	脩	¼­³		등	수	
638	唐	Ä³	彬	ËÝ	儒宗	당	빈	유종
639	李	Ø	〓{F055}	·Ý		이	흠	
640	韓	¶Ý	徳	Ä¸		한	덕	
641	崔	»²	諒	Ø®³		최	량	
642	荀	¼Þ­Ý	愷	¶Þ²		순	개	
643	岑	¼Ý	威	²		잠	위	
644	秦	¼Ý	朗	Û³	元明	진	랑	원명
645	薛	¾Â	則	¿¸		설	칙	
646	董	Ä³	禧	·		동	희	
647	楊	Ö³	陵	Ø®³		양	릉	
648	李	Ø	勝	¼®³	公昭	이	승	공소
649	梁	Ø®³	緒	¼®		양	서	
650	関	¶Ý	靖	¾²	士起	관	정	사기
651	成	¾²	済	»²		성	제	
652	全	¾ÞÝ	紀	·		전	기	
653	全	¾ÞÝ	尚	¼®³		전	상	
654	鮑	Î³	忠	Á­³		포	충	
655	楊	Ö³	阜	Ì	義山	양	부	의산
656	李	Ø	豊	Î³	安国	이	풍	안국
657	劉	Ø­³	丞	¼Þ®³		유	승	
